ENTIDAD_RES,FECHA_INGRESO,confirmados,fecha_ingreso,ENTIDAD,CLAVE_ENTIDAD
1,2020-02-20,1,2020-02-20,Aguascalientes,1
1,2020-03-14,1,2020-03-14,Aguascalientes,1
1,2020-03-17,1,2020-03-17,Aguascalientes,1
1,2020-03-18,3,2020-03-18,Aguascalientes,1
1,2020-03-19,1,2020-03-19,Aguascalientes,1
1,2020-03-20,2,2020-03-20,Aguascalientes,1
1,2020-03-21,1,2020-03-21,Aguascalientes,1
1,2020-03-22,1,2020-03-22,Aguascalientes,1
1,2020-03-23,4,2020-03-23,Aguascalientes,1
1,2020-03-25,17,2020-03-25,Aguascalientes,1
1,2020-03-26,4,2020-03-26,Aguascalientes,1
1,2020-03-27,6,2020-03-27,Aguascalientes,1
1,2020-03-28,5,2020-03-28,Aguascalientes,1
1,2020-03-29,3,2020-03-29,Aguascalientes,1
1,2020-03-30,4,2020-03-30,Aguascalientes,1
1,2020-03-31,1,2020-03-31,Aguascalientes,1
1,2020-04-02,1,2020-04-02,Aguascalientes,1
1,2020-04-03,2,2020-04-03,Aguascalientes,1
1,2020-04-05,2,2020-04-05,Aguascalientes,1
1,2020-04-06,5,2020-04-06,Aguascalientes,1
1,2020-04-07,1,2020-04-07,Aguascalientes,1
1,2020-04-08,1,2020-04-08,Aguascalientes,1
1,2020-04-10,3,2020-04-10,Aguascalientes,1
1,2020-04-11,1,2020-04-11,Aguascalientes,1
1,2020-04-12,2,2020-04-12,Aguascalientes,1
1,2020-04-13,9,2020-04-13,Aguascalientes,1
1,2020-04-14,2,2020-04-14,Aguascalientes,1
1,2020-04-15,12,2020-04-15,Aguascalientes,1
1,2020-04-16,7,2020-04-16,Aguascalientes,1
1,2020-04-17,18,2020-04-17,Aguascalientes,1
1,2020-04-18,13,2020-04-18,Aguascalientes,1
1,2020-04-19,3,2020-04-19,Aguascalientes,1
1,2020-04-20,17,2020-04-20,Aguascalientes,1
1,2020-04-21,13,2020-04-21,Aguascalientes,1
1,2020-04-22,11,2020-04-22,Aguascalientes,1
1,2020-04-23,21,2020-04-23,Aguascalientes,1
1,2020-04-24,11,2020-04-24,Aguascalientes,1
1,2020-04-25,1,2020-04-25,Aguascalientes,1
1,2020-04-26,7,2020-04-26,Aguascalientes,1
1,2020-04-27,17,2020-04-27,Aguascalientes,1
1,2020-04-28,32,2020-04-28,Aguascalientes,1
1,2020-04-29,17,2020-04-29,Aguascalientes,1
1,2020-04-30,27,2020-04-30,Aguascalientes,1
1,2020-05-01,4,2020-05-01,Aguascalientes,1
1,2020-05-02,3,2020-05-02,Aguascalientes,1
1,2020-05-03,4,2020-05-03,Aguascalientes,1
1,2020-05-04,50,2020-05-04,Aguascalientes,1
1,2020-05-05,12,2020-05-05,Aguascalientes,1
1,2020-05-06,16,2020-05-06,Aguascalientes,1
1,2020-05-07,24,2020-05-07,Aguascalientes,1
1,2020-05-08,14,2020-05-08,Aguascalientes,1
1,2020-05-10,4,2020-05-10,Aguascalientes,1
1,2020-05-11,11,2020-05-11,Aguascalientes,1
1,2020-05-12,44,2020-05-12,Aguascalientes,1
1,2020-05-13,14,2020-05-13,Aguascalientes,1
1,2020-05-14,24,2020-05-14,Aguascalientes,1
1,2020-05-15,28,2020-05-15,Aguascalientes,1
1,2020-05-16,3,2020-05-16,Aguascalientes,1
1,2020-05-17,7,2020-05-17,Aguascalientes,1
1,2020-05-18,37,2020-05-18,Aguascalientes,1
1,2020-05-19,21,2020-05-19,Aguascalientes,1
1,2020-05-20,27,2020-05-20,Aguascalientes,1
1,2020-05-21,30,2020-05-21,Aguascalientes,1
1,2020-05-22,24,2020-05-22,Aguascalientes,1
1,2020-05-23,18,2020-05-23,Aguascalientes,1
1,2020-05-24,9,2020-05-24,Aguascalientes,1
1,2020-05-25,39,2020-05-25,Aguascalientes,1
1,2020-05-26,39,2020-05-26,Aguascalientes,1
1,2020-05-27,35,2020-05-27,Aguascalientes,1
1,2020-05-28,45,2020-05-28,Aguascalientes,1
1,2020-05-29,42,2020-05-29,Aguascalientes,1
1,2020-05-30,15,2020-05-30,Aguascalientes,1
1,2020-05-31,20,2020-05-31,Aguascalientes,1
1,2020-06-01,62,2020-06-01,Aguascalientes,1
1,2020-06-02,57,2020-06-02,Aguascalientes,1
1,2020-06-03,60,2020-06-03,Aguascalientes,1
1,2020-06-04,44,2020-06-04,Aguascalientes,1
1,2020-06-05,61,2020-06-05,Aguascalientes,1
1,2020-06-06,22,2020-06-06,Aguascalientes,1
1,2020-06-07,28,2020-06-07,Aguascalientes,1
1,2020-06-08,73,2020-06-08,Aguascalientes,1
1,2020-06-09,67,2020-06-09,Aguascalientes,1
1,2020-06-10,63,2020-06-10,Aguascalientes,1
1,2020-06-11,63,2020-06-11,Aguascalientes,1
1,2020-06-12,60,2020-06-12,Aguascalientes,1
1,2020-06-13,34,2020-06-13,Aguascalientes,1
1,2020-06-14,23,2020-06-14,Aguascalientes,1
1,2020-06-15,82,2020-06-15,Aguascalientes,1
1,2020-06-16,58,2020-06-16,Aguascalientes,1
1,2020-06-17,74,2020-06-17,Aguascalientes,1
1,2020-06-18,64,2020-06-18,Aguascalientes,1
1,2020-06-19,70,2020-06-19,Aguascalientes,1
1,2020-06-20,15,2020-06-20,Aguascalientes,1
1,2020-06-21,26,2020-06-21,Aguascalientes,1
1,2020-06-22,68,2020-06-22,Aguascalientes,1
1,2020-06-23,53,2020-06-23,Aguascalientes,1
1,2020-06-24,50,2020-06-24,Aguascalientes,1
1,2020-06-25,69,2020-06-25,Aguascalientes,1
1,2020-06-26,56,2020-06-26,Aguascalientes,1
1,2020-06-27,17,2020-06-27,Aguascalientes,1
1,2020-06-28,11,2020-06-28,Aguascalientes,1
1,2020-06-29,39,2020-06-29,Aguascalientes,1
1,2020-06-30,39,2020-06-30,Aguascalientes,1
1,2020-07-01,79,2020-07-01,Aguascalientes,1
1,2020-07-02,71,2020-07-02,Aguascalientes,1
1,2020-07-03,68,2020-07-03,Aguascalientes,1
1,2020-07-04,11,2020-07-04,Aguascalientes,1
1,2020-07-05,8,2020-07-05,Aguascalientes,1
1,2020-07-06,91,2020-07-06,Aguascalientes,1
1,2020-07-07,119,2020-07-07,Aguascalientes,1
1,2020-07-08,53,2020-07-08,Aguascalientes,1
1,2020-07-09,43,2020-07-09,Aguascalientes,1
1,2020-07-10,77,2020-07-10,Aguascalientes,1
1,2020-07-11,21,2020-07-11,Aguascalientes,1
1,2020-07-12,32,2020-07-12,Aguascalientes,1
1,2020-07-13,82,2020-07-13,Aguascalientes,1
1,2020-07-14,82,2020-07-14,Aguascalientes,1
1,2020-07-15,82,2020-07-15,Aguascalientes,1
1,2020-07-16,85,2020-07-16,Aguascalientes,1
1,2020-07-17,73,2020-07-17,Aguascalientes,1
1,2020-07-18,22,2020-07-18,Aguascalientes,1
1,2020-07-19,15,2020-07-19,Aguascalientes,1
1,2020-07-20,51,2020-07-20,Aguascalientes,1
1,2020-07-21,97,2020-07-21,Aguascalientes,1
1,2020-07-22,52,2020-07-22,Aguascalientes,1
1,2020-07-23,73,2020-07-23,Aguascalientes,1
1,2020-07-24,72,2020-07-24,Aguascalientes,1
1,2020-07-25,18,2020-07-25,Aguascalientes,1
1,2020-07-26,21,2020-07-26,Aguascalientes,1
1,2020-07-27,69,2020-07-27,Aguascalientes,1
1,2020-07-28,63,2020-07-28,Aguascalientes,1
1,2020-07-29,59,2020-07-29,Aguascalientes,1
1,2020-07-30,58,2020-07-30,Aguascalientes,1
1,2020-07-31,63,2020-07-31,Aguascalientes,1
1,2020-08-01,36,2020-08-01,Aguascalientes,1
1,2020-08-02,17,2020-08-02,Aguascalientes,1
1,2020-08-03,61,2020-08-03,Aguascalientes,1
1,2020-08-04,72,2020-08-04,Aguascalientes,1
1,2020-08-05,49,2020-08-05,Aguascalientes,1
1,2020-08-06,41,2020-08-06,Aguascalientes,1
1,2020-08-07,44,2020-08-07,Aguascalientes,1
1,2020-08-08,22,2020-08-08,Aguascalientes,1
1,2020-08-09,19,2020-08-09,Aguascalientes,1
1,2020-08-10,78,2020-08-10,Aguascalientes,1
1,2020-08-11,51,2020-08-11,Aguascalientes,1
1,2020-08-12,59,2020-08-12,Aguascalientes,1
1,2020-08-13,64,2020-08-13,Aguascalientes,1
1,2020-08-14,53,2020-08-14,Aguascalientes,1
1,2020-08-15,15,2020-08-15,Aguascalientes,1
1,2020-08-16,33,2020-08-16,Aguascalientes,1
1,2020-08-17,90,2020-08-17,Aguascalientes,1
1,2020-08-18,80,2020-08-18,Aguascalientes,1
1,2020-08-19,66,2020-08-19,Aguascalientes,1
1,2020-08-20,55,2020-08-20,Aguascalientes,1
1,2020-08-21,66,2020-08-21,Aguascalientes,1
1,2020-08-22,40,2020-08-22,Aguascalientes,1
1,2020-08-23,35,2020-08-23,Aguascalientes,1
1,2020-08-24,66,2020-08-24,Aguascalientes,1
1,2020-08-25,69,2020-08-25,Aguascalientes,1
1,2020-08-26,101,2020-08-26,Aguascalientes,1
1,2020-08-27,58,2020-08-27,Aguascalientes,1
1,2020-08-28,70,2020-08-28,Aguascalientes,1
1,2020-08-29,43,2020-08-29,Aguascalientes,1
1,2020-08-30,23,2020-08-30,Aguascalientes,1
1,2020-08-31,93,2020-08-31,Aguascalientes,1
1,2020-09-01,60,2020-09-01,Aguascalientes,1
1,2020-09-02,79,2020-09-02,Aguascalientes,1
1,2020-09-03,76,2020-09-03,Aguascalientes,1
1,2020-09-04,48,2020-09-04,Aguascalientes,1
1,2020-09-05,19,2020-09-05,Aguascalientes,1
1,2020-09-06,23,2020-09-06,Aguascalientes,1
1,2020-09-07,76,2020-09-07,Aguascalientes,1
1,2020-09-08,56,2020-09-08,Aguascalientes,1
1,2020-09-09,62,2020-09-09,Aguascalientes,1
