ENTIDAD_RES,FECHA_DEF,defunciones,fecha_defuncion,ENTIDAD,CLAVE_ENTIDAD
1,2020-04-10,1,2020-04-10,Aguascalientes,1
1,2020-04-13,1,2020-04-13,Aguascalientes,1
1,2020-04-17,1,2020-04-17,Aguascalientes,1
1,2020-04-19,1,2020-04-19,Aguascalientes,1
1,2020-04-22,1,2020-04-22,Aguascalientes,1
1,2020-04-27,1,2020-04-27,Aguascalientes,1
1,2020-04-28,1,2020-04-28,Aguascalientes,1
1,2020-04-30,1,2020-04-30,Aguascalientes,1
1,2020-05-04,1,2020-05-04,Aguascalientes,1
1,2020-05-06,3,2020-05-06,Aguascalientes,1
1,2020-05-07,3,2020-05-07,Aguascalientes,1
1,2020-05-08,1,2020-05-08,Aguascalientes,1
1,2020-05-10,1,2020-05-10,Aguascalientes,1
1,2020-05-13,2,2020-05-13,Aguascalientes,1
1,2020-05-14,1,2020-05-14,Aguascalientes,1
1,2020-05-15,1,2020-05-15,Aguascalientes,1
1,2020-05-16,1,2020-05-16,Aguascalientes,1
1,2020-05-17,4,2020-05-17,Aguascalientes,1
1,2020-05-21,2,2020-05-21,Aguascalientes,1
1,2020-05-22,1,2020-05-22,Aguascalientes,1
1,2020-05-24,4,2020-05-24,Aguascalientes,1
1,2020-05-25,1,2020-05-25,Aguascalientes,1
1,2020-05-26,1,2020-05-26,Aguascalientes,1
1,2020-05-27,4,2020-05-27,Aguascalientes,1
1,2020-05-28,3,2020-05-28,Aguascalientes,1
1,2020-05-29,3,2020-05-29,Aguascalientes,1
1,2020-05-30,2,2020-05-30,Aguascalientes,1
1,2020-05-31,2,2020-05-31,Aguascalientes,1
1,2020-06-01,2,2020-06-01,Aguascalientes,1
1,2020-06-02,3,2020-06-02,Aguascalientes,1
1,2020-06-03,4,2020-06-03,Aguascalientes,1
1,2020-06-04,4,2020-06-04,Aguascalientes,1
1,2020-06-05,2,2020-06-05,Aguascalientes,1
1,2020-06-06,5,2020-06-06,Aguascalientes,1
1,2020-06-07,4,2020-06-07,Aguascalientes,1
1,2020-06-08,2,2020-06-08,Aguascalientes,1
1,2020-06-09,4,2020-06-09,Aguascalientes,1
1,2020-06-10,6,2020-06-10,Aguascalientes,1
1,2020-06-11,3,2020-06-11,Aguascalientes,1
1,2020-06-12,7,2020-06-12,Aguascalientes,1
1,2020-06-13,2,2020-06-13,Aguascalientes,1
1,2020-06-14,3,2020-06-14,Aguascalientes,1
1,2020-06-15,3,2020-06-15,Aguascalientes,1
1,2020-06-16,5,2020-06-16,Aguascalientes,1
1,2020-06-17,4,2020-06-17,Aguascalientes,1
1,2020-06-18,6,2020-06-18,Aguascalientes,1
1,2020-06-19,5,2020-06-19,Aguascalientes,1
1,2020-06-20,4,2020-06-20,Aguascalientes,1
1,2020-06-21,5,2020-06-21,Aguascalientes,1
1,2020-06-22,1,2020-06-22,Aguascalientes,1
1,2020-06-23,2,2020-06-23,Aguascalientes,1
1,2020-06-24,6,2020-06-24,Aguascalientes,1
1,2020-06-25,3,2020-06-25,Aguascalientes,1
1,2020-06-26,10,2020-06-26,Aguascalientes,1
1,2020-06-27,4,2020-06-27,Aguascalientes,1
1,2020-06-28,1,2020-06-28,Aguascalientes,1
1,2020-06-29,4,2020-06-29,Aguascalientes,1
1,2020-06-30,2,2020-06-30,Aguascalientes,1
1,2020-07-01,2,2020-07-01,Aguascalientes,1
1,2020-07-02,3,2020-07-02,Aguascalientes,1
1,2020-07-03,4,2020-07-03,Aguascalientes,1
1,2020-07-04,8,2020-07-04,Aguascalientes,1
1,2020-07-05,4,2020-07-05,Aguascalientes,1
1,2020-07-06,2,2020-07-06,Aguascalientes,1
1,2020-07-07,6,2020-07-07,Aguascalientes,1
1,2020-07-08,6,2020-07-08,Aguascalientes,1
1,2020-07-09,3,2020-07-09,Aguascalientes,1
1,2020-07-10,1,2020-07-10,Aguascalientes,1
1,2020-07-11,4,2020-07-11,Aguascalientes,1
1,2020-07-12,4,2020-07-12,Aguascalientes,1
1,2020-07-13,3,2020-07-13,Aguascalientes,1
1,2020-07-14,5,2020-07-14,Aguascalientes,1
1,2020-07-15,3,2020-07-15,Aguascalientes,1
1,2020-07-16,3,2020-07-16,Aguascalientes,1
1,2020-07-17,2,2020-07-17,Aguascalientes,1
1,2020-07-18,3,2020-07-18,Aguascalientes,1
1,2020-07-19,2,2020-07-19,Aguascalientes,1
1,2020-07-20,4,2020-07-20,Aguascalientes,1
1,2020-07-21,2,2020-07-21,Aguascalientes,1
1,2020-07-22,2,2020-07-22,Aguascalientes,1
1,2020-07-23,8,2020-07-23,Aguascalientes,1
1,2020-07-24,9,2020-07-24,Aguascalientes,1
1,2020-07-25,5,2020-07-25,Aguascalientes,1
1,2020-07-26,4,2020-07-26,Aguascalientes,1
1,2020-07-27,3,2020-07-27,Aguascalientes,1
1,2020-07-28,3,2020-07-28,Aguascalientes,1
1,2020-07-29,3,2020-07-29,Aguascalientes,1
1,2020-07-30,3,2020-07-30,Aguascalientes,1
1,2020-07-31,4,2020-07-31,Aguascalientes,1
1,2020-08-01,3,2020-08-01,Aguascalientes,1
1,2020-08-02,2,2020-08-02,Aguascalientes,1
1,2020-08-03,2,2020-08-03,Aguascalientes,1
1,2020-08-04,6,2020-08-04,Aguascalientes,1
1,2020-08-05,2,2020-08-05,Aguascalientes,1
1,2020-08-06,6,2020-08-06,Aguascalientes,1
1,2020-08-07,7,2020-08-07,Aguascalientes,1
1,2020-08-08,5,2020-08-08,Aguascalientes,1
1,2020-08-09,5,2020-08-09,Aguascalientes,1
1,2020-08-10,3,2020-08-10,Aguascalientes,1
1,2020-08-11,4,2020-08-11,Aguascalientes,1
1,2020-08-12,5,2020-08-12,Aguascalientes,1
1,2020-08-13,5,2020-08-13,Aguascalientes,1
1,2020-08-14,6,2020-08-14,Aguascalientes,1
1,2020-08-15,8,2020-08-15,Aguascalientes,1
1,2020-08-16,6,2020-08-16,Aguascalientes,1
1,2020-08-17,4,2020-08-17,Aguascalientes,1
1,2020-08-18,5,2020-08-18,Aguascalientes,1
1,2020-08-19,4,2020-08-19,Aguascalientes,1
1,2020-08-20,5,2020-08-20,Aguascalientes,1
1,2020-08-21,6,2020-08-21,Aguascalientes,1
1,2020-08-22,2,2020-08-22,Aguascalientes,1
1,2020-08-23,2,2020-08-23,Aguascalientes,1
1,2020-08-24,16,2020-08-24,Aguascalientes,1
1,2020-08-25,6,2020-08-25,Aguascalientes,1
1,2020-08-26,5,2020-08-26,Aguascalientes,1
1,2020-08-27,10,2020-08-27,Aguascalientes,1
1,2020-08-28,6,2020-08-28,Aguascalientes,1
1,2020-08-29,4,2020-08-29,Aguascalientes,1
1,2020-08-30,3,2020-08-30,Aguascalientes,1
1,2020-08-31,9,2020-08-31,Aguascalientes,1
1,2020-09-01,4,2020-09-01,Aguascalientes,1
1,2020-09-02,14,2020-09-02,Aguascalientes,1
1,2020-09-03,6,2020-09-03,Aguascalientes,1
1,2020-09-04,8,2020-09-04,Aguascalientes,1
1,2020-09-05,12,2020-09-05,Aguascalientes,1
1,2020-09-06,6,2020-09-06,Aguascalientes,1
1,2020-09-07,8,2020-09-07,Aguascalientes,1
1,2020-09-08,9,2020-09-08,Aguascalientes,1
1,2020-09-09,7,2020-09-09,Aguascalientes,1
1,2020-09-10,2,2020-09-10,Aguascalientes,1
1,2020-09-11,6,2020-09-11,Aguascalientes,1
1,2020-09-12,6,2020-09-12,Aguascalientes,1
1,2020-09-13,4,2020-09-13,Aguascalientes,1
1,2020-09-14,9,2020-09-14,Aguascalientes,1
1,2020-09-15,5,2020-09-15,Aguascalientes,1
1,2020-09-16,7,2020-09-16,Aguascalientes,1
1,2020-09-17,7,2020-09-17,Aguascalientes,1
1,2020-09-18,8,2020-09-18,Aguascalientes,1
1,2020-09-19,5,2020-09-19,Aguascalientes,1
1,2020-09-20,8,2020-09-20,Aguascalientes,1
1,2020-09-21,12,2020-09-21,Aguascalientes,1
1,2020-09-22,6,2020-09-22,Aguascalientes,1
1,2020-09-23,4,2020-09-23,Aguascalientes,1
1,2020-09-24,7,2020-09-24,Aguascalientes,1
1,2020-09-25,5,2020-09-25,Aguascalientes,1
1,2020-09-26,3,2020-09-26,Aguascalientes,1
1,2020-09-27,6,2020-09-27,Aguascalientes,1
1,2020-09-28,9,2020-09-28,Aguascalientes,1
1,2020-09-29,7,2020-09-29,Aguascalientes,1
1,2020-09-30,5,2020-09-30,Aguascalientes,1
1,2020-10-01,11,2020-10-01,Aguascalientes,1
1,2020-10-02,1,2020-10-02,Aguascalientes,1
1,2020-10-03,3,2020-10-03,Aguascalientes,1
1,2020-10-04,7,2020-10-04,Aguascalientes,1
1,2020-10-05,9,2020-10-05,Aguascalientes,1
1,2020-10-06,5,2020-10-06,Aguascalientes,1
1,2020-10-07,2,2020-10-07,Aguascalientes,1
1,2020-10-08,6,2020-10-08,Aguascalientes,1
1,2020-10-09,3,2020-10-09,Aguascalientes,1
1,2020-10-10,5,2020-10-10,Aguascalientes,1
1,2020-10-11,3,2020-10-11,Aguascalientes,1
1,2020-10-12,7,2020-10-12,Aguascalientes,1
1,2020-10-13,8,2020-10-13,Aguascalientes,1
1,2020-10-14,3,2020-10-14,Aguascalientes,1
1,2020-10-15,6,2020-10-15,Aguascalientes,1
1,2020-10-16,3,2020-10-16,Aguascalientes,1
1,2020-10-17,13,2020-10-17,Aguascalientes,1
1,2020-10-18,5,2020-10-18,Aguascalientes,1
1,2020-10-19,11,2020-10-19,Aguascalientes,1
1,2020-10-20,11,2020-10-20,Aguascalientes,1
1,2020-10-21,11,2020-10-21,Aguascalientes,1
1,2020-10-22,11,2020-10-22,Aguascalientes,1
1,2020-10-23,7,2020-10-23,Aguascalientes,1
1,2020-10-24,9,2020-10-24,Aguascalientes,1
1,2020-10-25,7,2020-10-25,Aguascalientes,1
1,2020-10-26,3,2020-10-26,Aguascalientes,1
1,2020-10-27,4,2020-10-27,Aguascalientes,1
1,2020-10-28,4,2020-10-28,Aguascalientes,1
1,2020-10-29,9,2020-10-29,Aguascalientes,1
1,2020-10-30,7,2020-10-30,Aguascalientes,1
1,2020-10-31,7,2020-10-31,Aguascalientes,1
1,2020-11-01,6,2020-11-01,Aguascalientes,1
1,2020-11-02,12,2020-11-02,Aguascalientes,1
1,2020-11-03,11,2020-11-03,Aguascalientes,1
1,2020-11-04,6,2020-11-04,Aguascalientes,1
1,2020-11-05,9,2020-11-05,Aguascalientes,1
1,2020-11-06,16,2020-11-06,Aguascalientes,1
1,2020-11-07,11,2020-11-07,Aguascalientes,1
1,2020-11-08,9,2020-11-08,Aguascalientes,1
1,2020-11-09,9,2020-11-09,Aguascalientes,1
1,2020-11-10,9,2020-11-10,Aguascalientes,1
1,2020-11-11,9,2020-11-11,Aguascalientes,1
1,2020-11-12,18,2020-11-12,Aguascalientes,1
1,2020-11-13,11,2020-11-13,Aguascalientes,1
1,2020-11-14,13,2020-11-14,Aguascalientes,1
1,2020-11-15,17,2020-11-15,Aguascalientes,1
1,2020-11-16,6,2020-11-16,Aguascalientes,1
1,2020-11-17,10,2020-11-17,Aguascalientes,1
1,2020-11-18,6,2020-11-18,Aguascalientes,1
1,2020-11-19,5,2020-11-19,Aguascalientes,1
1,2020-11-20,9,2020-11-20,Aguascalientes,1
1,2020-11-21,11,2020-11-21,Aguascalientes,1
1,2020-11-22,9,2020-11-22,Aguascalientes,1
1,2020-11-23,7,2020-11-23,Aguascalientes,1
1,2020-11-24,11,2020-11-24,Aguascalientes,1
1,2020-11-25,11,2020-11-25,Aguascalientes,1
1,2020-11-26,11,2020-11-26,Aguascalientes,1
1,2020-11-27,5,2020-11-27,Aguascalientes,1
1,2020-11-28,4,2020-11-28,Aguascalientes,1
1,2020-11-29,15,2020-11-29,Aguascalientes,1
1,2020-11-30,12,2020-11-30,Aguascalientes,1
1,2020-12-01,17,2020-12-01,Aguascalientes,1
