RENGLON,AÑO,ENTIDAD,CVE_GEO,EDAD,SEXO,POBLACION
15401,2020,República Mexicana,0,0,Hombres,1087447
15402,2020,República Mexicana,0,0,Mujeres,1048275
15403,2020,República Mexicana,0,1,Hombres,1093379
15404,2020,República Mexicana,0,1,Mujeres,1054636
15405,2020,República Mexicana,0,2,Hombres,1100800
15406,2020,República Mexicana,0,2,Mujeres,1061974
15407,2020,República Mexicana,0,3,Hombres,1108402
15408,2020,República Mexicana,0,3,Mujeres,1069224
15409,2020,República Mexicana,0,4,Hombres,1114769
15410,2020,República Mexicana,0,4,Mujeres,1075251
15411,2020,República Mexicana,0,5,Hombres,1119479
15412,2020,República Mexicana,0,5,Mujeres,1079856
15413,2020,República Mexicana,0,6,Hombres,1122374
15414,2020,República Mexicana,0,6,Mujeres,1082945
15415,2020,República Mexicana,0,7,Hombres,1123921
15416,2020,República Mexicana,0,7,Mujeres,1084339
15417,2020,República Mexicana,0,8,Hombres,1125153
15418,2020,República Mexicana,0,8,Mujeres,1085091
15419,2020,República Mexicana,0,9,Hombres,1126053
15420,2020,República Mexicana,0,9,Mujeres,1086065
15421,2020,República Mexicana,0,10,Hombres,1127584
15422,2020,República Mexicana,0,10,Mujeres,1087661
15423,2020,República Mexicana,0,11,Hombres,1129609
15424,2020,República Mexicana,0,11,Mujeres,1089876
15425,2020,República Mexicana,0,12,Hombres,1131125
15426,2020,República Mexicana,0,12,Mujeres,1091850
15427,2020,República Mexicana,0,13,Hombres,1132647
15428,2020,República Mexicana,0,13,Mujeres,1093043
15429,2020,República Mexicana,0,14,Hombres,1134624
15430,2020,República Mexicana,0,14,Mujeres,1094700
15431,2020,República Mexicana,0,15,Hombres,1135375
15432,2020,República Mexicana,0,15,Mujeres,1096156
15433,2020,República Mexicana,0,16,Hombres,1132192
15434,2020,República Mexicana,0,16,Mujeres,1094702
15435,2020,República Mexicana,0,17,Hombres,1125251
15436,2020,República Mexicana,0,17,Mujeres,1090828
15437,2020,República Mexicana,0,18,Hombres,1117509
15438,2020,República Mexicana,0,18,Mujeres,1087223
15439,2020,República Mexicana,0,19,Hombres,1109641
15440,2020,República Mexicana,0,19,Mujeres,1083771
15441,2020,República Mexicana,0,20,Hombres,1102086
15442,2020,República Mexicana,0,20,Mujeres,1079684
15443,2020,República Mexicana,0,21,Hombres,1096148
15444,2020,República Mexicana,0,21,Mujeres,1075574
15445,2020,República Mexicana,0,22,Hombres,1091600
15446,2020,República Mexicana,0,22,Mujeres,1072730
15447,2020,República Mexicana,0,23,Hombres,1087899
15448,2020,República Mexicana,0,23,Mujeres,1072186
15449,2020,República Mexicana,0,24,Hombres,1085130
15450,2020,República Mexicana,0,24,Mujeres,1073520
15451,2020,República Mexicana,0,25,Hombres,1082381
15452,2020,República Mexicana,0,25,Mujeres,1074674
15453,2020,República Mexicana,0,26,Hombres,1076872
15454,2020,República Mexicana,0,26,Mujeres,1072980
15455,2020,República Mexicana,0,27,Hombres,1067297
15456,2020,República Mexicana,0,27,Mujeres,1068216
15457,2020,República Mexicana,0,28,Hombres,1053499
15458,2020,República Mexicana,0,28,Mujeres,1061332
15459,2020,República Mexicana,0,29,Hombres,1034307
15460,2020,República Mexicana,0,29,Mujeres,1051403
15461,2020,República Mexicana,0,30,Hombres,1011472
15462,2020,República Mexicana,0,30,Mujeres,1039180
15463,2020,República Mexicana,0,31,Hombres,988604
15464,2020,República Mexicana,0,31,Mujeres,1027221
15465,2020,República Mexicana,0,32,Hombres,965801
15466,2020,República Mexicana,0,32,Mujeres,1015218
15467,2020,República Mexicana,0,33,Hombres,942390
15468,2020,República Mexicana,0,33,Mujeres,1002010
15469,2020,República Mexicana,0,34,Hombres,919305
15470,2020,República Mexicana,0,34,Mujeres,988221
15471,2020,República Mexicana,0,35,Hombres,896592
15472,2020,República Mexicana,0,35,Mujeres,974208
15473,2020,República Mexicana,0,36,Hombres,873907
15474,2020,República Mexicana,0,36,Mujeres,959980
15475,2020,República Mexicana,0,37,Hombres,851872
15476,2020,República Mexicana,0,37,Mujeres,945900
15477,2020,República Mexicana,0,38,Hombres,831435
15478,2020,República Mexicana,0,38,Mujeres,932221
15479,2020,República Mexicana,0,39,Hombres,813363
15480,2020,República Mexicana,0,39,Mujeres,919070
15481,2020,República Mexicana,0,40,Hombres,798429
15482,2020,República Mexicana,0,40,Mujeres,906932
15483,2020,República Mexicana,0,41,Hombres,786879
