ENTIDAD_RES,FECHA_INGRESO,confirmados
1,2020-02-20,1
1,2020-03-14,1
1,2020-03-17,1
1,2020-03-18,3
1,2020-03-19,1
1,2020-03-20,2
1,2020-03-21,1
1,2020-03-22,1
1,2020-03-23,4
1,2020-03-25,17
1,2020-03-26,4
1,2020-03-27,6
1,2020-03-28,5
1,2020-03-29,3
1,2020-03-30,4
1,2020-03-31,1
1,2020-04-02,1
1,2020-04-03,2
1,2020-04-05,2
1,2020-04-06,5
1,2020-04-07,1
1,2020-04-08,1
1,2020-04-10,3
1,2020-04-11,1
1,2020-04-12,2
1,2020-04-13,9
1,2020-04-14,2
1,2020-04-15,12
1,2020-04-16,7
1,2020-04-17,18
1,2020-04-18,13
1,2020-04-19,3
1,2020-04-20,17
1,2020-04-21,13
1,2020-04-22,11
1,2020-04-23,21
1,2020-04-24,11
1,2020-04-25,1
1,2020-04-26,7
1,2020-04-27,17
1,2020-04-28,32
1,2020-04-29,17
1,2020-04-30,27
1,2020-05-01,4
1,2020-05-02,3
1,2020-05-03,4
1,2020-05-04,50
1,2020-05-05,12
1,2020-05-06,16
1,2020-05-07,24
1,2020-05-08,14
1,2020-05-10,4
1,2020-05-11,11
1,2020-05-12,44
1,2020-05-13,14
1,2020-05-14,24
1,2020-05-15,28
1,2020-05-16,3
1,2020-05-17,7
1,2020-05-18,37
1,2020-05-19,21
1,2020-05-20,27
1,2020-05-21,30
1,2020-05-22,24
1,2020-05-23,18
1,2020-05-24,9
1,2020-05-25,39
1,2020-05-26,39
1,2020-05-27,35
1,2020-05-28,45
1,2020-05-29,43
1,2020-05-30,15
1,2020-05-31,20
1,2020-06-01,62
1,2020-06-02,57
1,2020-06-03,60
1,2020-06-04,44
1,2020-06-05,61
1,2020-06-06,22
1,2020-06-07,28
1,2020-06-08,73
1,2020-06-09,67
1,2020-06-10,63
1,2020-06-11,63
1,2020-06-12,60
1,2020-06-13,34
1,2020-06-14,23
1,2020-06-15,82
1,2020-06-16,58
1,2020-06-17,74
1,2020-06-18,64
1,2020-06-19,70
1,2020-06-20,15
1,2020-06-21,26
1,2020-06-22,68
1,2020-06-23,53
1,2020-06-24,50
1,2020-06-25,69
1,2020-06-26,56
1,2020-06-27,17
1,2020-06-28,11
1,2020-06-29,39
1,2020-06-30,39
1,2020-07-01,79
1,2020-07-02,71
1,2020-07-03,68
1,2020-07-04,11
1,2020-07-05,8
1,2020-07-06,91
1,2020-07-07,119
1,2020-07-08,53
1,2020-07-09,43
1,2020-07-10,77
1,2020-07-11,21
1,2020-07-12,32
1,2020-07-13,82
1,2020-07-14,82
1,2020-07-15,82
1,2020-07-16,85
1,2020-07-17,73
1,2020-07-18,22
1,2020-07-19,15
1,2020-07-20,51
1,2020-07-21,97
1,2020-07-22,52
1,2020-07-23,73
1,2020-07-24,72
1,2020-07-25,18
1,2020-07-26,21
1,2020-07-27,68
1,2020-07-28,63
1,2020-07-29,59
1,2020-07-30,58
1,2020-07-31,64
1,2020-08-01,36
1,2020-08-02,17
1,2020-08-03,61
1,2020-08-04,72
1,2020-08-05,49
1,2020-08-06,41
1,2020-08-07,44
1,2020-08-08,22
1,2020-08-09,19
1,2020-08-10,78
1,2020-08-11,51
1,2020-08-12,59
1,2020-08-13,64
1,2020-08-14,53
1,2020-08-15,15
1,2020-08-16,33
1,2020-08-17,90
1,2020-08-18,80
1,2020-08-19,66
1,2020-08-20,55
1,2020-08-21,66
1,2020-08-22,40
1,2020-08-23,35
1,2020-08-24,66
1,2020-08-25,69
1,2020-08-26,101
1,2020-08-27,58
1,2020-08-28,70
1,2020-08-29,43
1,2020-08-30,23
1,2020-08-31,93
1,2020-09-01,60
1,2020-09-02,79
1,2020-09-03,76
1,2020-09-04,48
1,2020-09-05,19
1,2020-09-06,24
1,2020-09-07,76
1,2020-09-08,56
1,2020-09-09,63
1,2020-09-10,58
1,2020-09-11,52
1,2020-09-12,14
1,2020-09-13,13
1,2020-09-14,68
1,2020-09-15,16
1,2020-09-16,23
1,2020-09-17,103
1,2020-09-18,55
1,2020-09-19,28
1,2020-09-20,25
1,2020-09-21,86
1,2020-09-22,68
1,2020-09-23,83
1,2020-09-24,74
1,2020-09-25,54
1,2020-09-26,23
1,2020-09-27,15
1,2020-09-28,96
1,2020-09-29,95
1,2020-09-30,85
1,2020-10-01,54
1,2020-10-02,73
1,2020-10-03,15
1,2020-10-04,17
1,2020-10-05,105
1,2020-10-06,93
1,2020-10-07,70
1,2020-10-08,75
1,2020-10-09,79
1,2020-10-10,19
1,2020-10-11,24
1,2020-10-12,119
1,2020-10-13,91
1,2020-10-14,91
1,2020-10-15,98
1,2020-10-16,96
1,2020-10-17,20
1,2020-10-18,31
1,2020-10-19,155
1,2020-10-20,114
1,2020-10-21,110
1,2020-10-22,113
1,2020-10-23,139
1,2020-10-24,45
1,2020-10-25,32
1,2020-10-26,163
1,2020-10-27,194
1,2020-10-28,174
1,2020-10-29,164
1,2020-10-30,172
1,2020-10-31,39
1,2020-11-01,26
1,2020-11-02,231
1,2020-11-03,177
1,2020-11-04,128
1,2020-11-05,113
1,2020-11-06,175
1,2020-11-07,29
1,2020-11-08,43
1,2020-11-09,146
1,2020-11-10,116
1,2020-11-11,200
1,2020-11-12,215
1,2020-11-13,151
1,2020-11-14,37
1,2020-11-15,34
1,2020-11-16,41
1,2020-11-17,264
1,2020-11-18,268
1,2020-11-19,242
1,2020-11-20,219
1,2020-11-21,54
1,2020-11-22,49
1,2020-11-23,258
1,2020-11-24,257
1,2020-11-25,199
1,2020-11-26,188
1,2020-11-27,159
1,2020-11-28,53
1,2020-11-29,38
1,2020-11-30,199
1,2020-12-01,188
1,2020-12-02,196
1,2020-12-03,147
1,2020-12-04,124
1,2020-12-05,33
1,2020-12-06,48
1,2020-12-07,141
1,2020-12-08,124
1,2020-12-09,130
1,2020-12-10,102
1,2020-12-11,97
1,2020-12-12,18
1,2020-12-13,24
1,2020-12-14,115
1,2020-12-15,123
1,2020-12-16,89
1,2020-12-17,98
1,2020-12-18,110
1,2020-12-19,26
1,2020-12-20,25
1,2020-12-21,117
1,2020-12-22,124
1,2020-12-23,72
1,2020-12-24,66
1,2020-12-25,8
1,2020-12-26,24
1,2020-12-27,33
1,2020-12-28,123
1,2020-12-29,119
1,2020-12-30,109
1,2020-12-31,58
1,2021-01-01,18
1,2021-01-02,44
1,2021-01-03,44
1,2021-01-04,113
1,2021-01-05,128
1,2021-01-06,134
1,2021-01-07,151
1,2021-01-08,142
1,2021-01-09,47
1,2021-01-10,32
1,2021-01-11,203
1,2021-01-12,181
1,2021-01-13,149
1,2021-01-14,152
1,2021-01-15,150
1,2021-01-16,27
1,2021-01-17,31
1,2021-01-18,208
1,2021-01-19,205
1,2021-01-20,226
1,2021-01-21,211
1,2021-01-22,155
1,2021-01-23,46
1,2021-01-24,31
1,2021-01-25,260
1,2021-01-26,185
1,2021-01-27,148
1,2021-01-28,131
1,2021-01-29,117
1,2021-01-30,21
1,2021-01-31,36
1,2021-02-01,39
1,2021-02-02,181
1,2021-02-03,134
1,2021-02-04,119
1,2021-02-05,88
1,2021-02-06,20
1,2021-02-07,32
1,2021-02-08,137
1,2021-02-09,83
1,2021-02-10,89
1,2021-02-11,87
1,2021-02-12,56
1,2021-02-13,15
1,2021-02-14,11
1,2021-02-15,86
1,2021-02-16,84
1,2021-02-17,83
1,2021-02-18,87
1,2021-02-19,62
1,2021-02-20,27
1,2021-02-21,20
1,2021-02-22,98
1,2021-02-23,72
1,2021-02-24,70
1,2021-02-25,60
1,2021-02-26,61
1,2021-02-27,7
1,2021-02-28,9
1,2021-03-01,34
1,2021-03-02,1
2,2020-03-03,1
2,2020-03-11,1
2,2020-03-16,1
2,2020-03-17,3
2,2020-03-18,4
2,2020-03-19,5
2,2020-03-20,6
2,2020-03-21,3
2,2020-03-22,2
2,2020-03-23,10
2,2020-03-24,9
2,2020-03-25,7
2,2020-03-26,11
2,2020-03-27,16
2,2020-03-28,7
2,2020-03-29,21
2,2020-03-30,29
2,2020-03-31,44
2,2020-04-01,66
2,2020-04-02,30
2,2020-04-03,38
2,2020-04-04,25
2,2020-04-05,20
2,2020-04-06,70
2,2020-04-07,41
2,2020-04-08,58
2,2020-04-09,58
2,2020-04-10,49
2,2020-04-11,32
2,2020-04-12,44
2,2020-04-13,81
2,2020-04-14,104
2,2020-04-15,102
2,2020-04-16,84
2,2020-04-17,99
2,2020-04-18,45
2,2020-04-19,44
2,2020-04-20,111
2,2020-04-21,108
2,2020-04-22,91
2,2020-04-23,112
2,2020-04-24,87
2,2020-04-25,44
2,2020-04-26,69
2,2020-04-27,112
2,2020-04-28,98
2,2020-04-29,110
2,2020-04-30,89
