ENTIDAD_RES,FECHA_DEF,defunciones
1,2020-04-10,1
1,2020-04-13,1
1,2020-04-17,1
1,2020-04-19,1
1,2020-04-22,1
1,2020-04-27,1
1,2020-04-28,1
1,2020-04-30,1
1,2020-05-04,1
1,2020-05-06,3
1,2020-05-07,3
1,2020-05-08,1
1,2020-05-10,1
1,2020-05-13,2
1,2020-05-14,1
1,2020-05-15,1
1,2020-05-16,1
1,2020-05-17,4
1,2020-05-21,2
1,2020-05-22,1
1,2020-05-24,4
1,2020-05-25,1
1,2020-05-26,1
1,2020-05-27,4
1,2020-05-28,3
1,2020-05-29,3
1,2020-05-30,2
1,2020-05-31,2
1,2020-06-01,2
1,2020-06-02,3
1,2020-06-03,4
1,2020-06-04,4
1,2020-06-05,2
1,2020-06-06,5
1,2020-06-07,4
1,2020-06-08,2
1,2020-06-09,4
1,2020-06-10,6
1,2020-06-11,3
1,2020-06-12,7
1,2020-06-13,2
1,2020-06-14,3
1,2020-06-15,3
1,2020-06-16,5
1,2020-06-17,4
1,2020-06-18,6
1,2020-06-19,5
1,2020-06-20,4
1,2020-06-21,5
1,2020-06-22,1
1,2020-06-23,2
1,2020-06-24,6
1,2020-06-25,4
1,2020-06-26,10
1,2020-06-27,4
1,2020-06-28,1
1,2020-06-29,4
1,2020-06-30,2
1,2020-07-01,2
1,2020-07-02,3
1,2020-07-03,4
1,2020-07-04,8
1,2020-07-05,4
1,2020-07-06,2
1,2020-07-07,6
1,2020-07-08,6
1,2020-07-09,3
1,2020-07-10,1
1,2020-07-11,4
1,2020-07-12,4
1,2020-07-13,3
1,2020-07-14,5
1,2020-07-15,3
1,2020-07-16,3
1,2020-07-17,2
1,2020-07-18,3
1,2020-07-19,2
1,2020-07-20,4
1,2020-07-21,2
1,2020-07-22,2
1,2020-07-23,8
1,2020-07-24,9
1,2020-07-25,5
1,2020-07-26,4
1,2020-07-27,3
1,2020-07-28,3
1,2020-07-29,3
1,2020-07-30,3
1,2020-07-31,4
1,2020-08-01,3
1,2020-08-02,2
1,2020-08-03,2
1,2020-08-04,6
1,2020-08-05,2
1,2020-08-06,6
1,2020-08-07,7
1,2020-08-08,5
1,2020-08-09,5
1,2020-08-10,3
1,2020-08-11,4
1,2020-08-12,5
1,2020-08-13,5
1,2020-08-14,6
1,2020-08-15,8
1,2020-08-16,6
1,2020-08-17,4
1,2020-08-18,5
1,2020-08-19,4
1,2020-08-20,5
1,2020-08-21,6
1,2020-08-22,2
1,2020-08-23,2
1,2020-08-24,16
1,2020-08-25,6
1,2020-08-26,5
1,2020-08-27,10
1,2020-08-28,6
1,2020-08-29,4
1,2020-08-30,4
1,2020-08-31,9
1,2020-09-01,4
1,2020-09-02,14
1,2020-09-03,6
1,2020-09-04,8
